samples_proportion,x_vars_proportion,train_time,valid_time,accuracy
6,1,3404900,6300,0.818182
7,1,4667800,7900,0.821818
8,1,6256200,8200,0.818182
1,2,173200,1100,0.901818
2,2,692100,2500,0.898182
3,2,1697000,3500,0.898182
4,2,3072000,4200,0.905455
5,2,4904400,5400,0.912727
6,2,6640700,7200,0.934545
7,2,10611100,9500,0.941818
8,2,13887400,9600,0.938182
1,3,334600,1300,0.934545
2,3,1334400,2600,0.96
3,3,3359900,3600,0.949091
4,3,5531000,4500,0.956364
5,3,8410500,4800,0.967273
6,3,11592000,5800,0.974545
7,3,16148500,7900,0.974545
8,3,21433800,9300,0.970909
1,4,443600,1400,0.934545
2,4,1711200,2600,0.967273
3,4,4465700,3600,0.963636
4,4,6772200,4300,0.956364
5,4,12586800,5300,0.978182
6,4,16190200,5600,0.967273
7,4,21447800,6800,0.978182
8,4,28620200,8500,0.974545
1,1,93700,1200,0.803636
2,1,374000,2600,0.84
3,1,882800,3900,0.810909
4,1,1505900,4600,0.807273
5,1,2327500,5400,0.825455
6,1,3380300,6400,0.818182
7,1,4686600,7900,0.821818
8,1,6317500,8600,0.818182
1,2,173600,1100,0.901818
2,2,710600,2700,0.898182
3,2,1744800,3500,0.898182
4,2,3101400,4300,0.905455
5,2,4965300,5700,0.912727
6,2,6639600,6900,0.934545
7,2,10102400,8000,0.941818
8,2,12715200,8800,0.938182
1,3,304500,1500,0.934545
2,3,1199000,2400,0.96
3,3,3098500,3200,0.949091
4,3,5075900,4300,0.956364
5,3,8500400,4700,0.967273
6,3,11559300,5900,0.974545
7,3,15993100,6800,0.974545
8,3,20587300,8100,0.970909
1,4,403400,1400,0.934545
2,4,1600100,2300,0.967273
3,4,4176100,3200,0.963636
4,4,6832100,4000,0.956364
5,4,11191600,5000,0.978182
6,4,16012100,5900,0.967273
7,4,21264700,6900,0.978182
8,4,27231600,8000,0.974545
1,1,94200,1200,0.803636
2,1,386800,2500,0.84
3,1,898400,3700,0.810909
4,1,1820100,5300,0.807273
5,1,2336000,5500,0.825455
6,1,3448900,7000,0.818182
7,1,4668900,7700,0.821818
8,1,6142500,8300,0.818182
1,2,173500,1000,0.901818
2,2,690700,2600,0.898182
3,2,1702100,3700,0.898182
4,2,3042200,4100,0.905455
5,2,5023900,5700,0.912727
6,2,6655400,7000,0.934545
7,2,9575300,8100,0.941818
8,2,12597000,8900,0.938182
1,3,303700,1200,0.934545
2,3,1169600,2400,0.96
3,3,2993200,3100,0.949091
