samples_proportion,x_vars_proportion,train_time,valid_time,accuracy
8,4,1550700,22700,1
1,1,127600,2500,0.836364
2,1,253600,4900,0.872727
3,1,380000,7500,0.861818
4,1,506400,9900,0.869091
5,1,632800,12200,0.850909
6,1,758100,14600,0.861818
7,1,1417800,17200,0.861818
8,1,1009000,19400,0.861818
1,2,146800,3000,0.916364
2,2,289000,5500,0.916364
3,2,432000,8100,0.92
4,2,577200,11200,0.916364
5,2,720900,13800,0.934545
6,2,865400,16400,0.927273
7,2,1102800,19300,0.938182
8,2,1152000,22000,0.927273
1,3,163800,3000,0.989091
2,3,323300,5800,0.992727
3,3,483700,8700,1
4,3,644900,11600,1
5,3,804000,14300,1
6,3,962300,17000,0.996364
7,3,1125300,20100,1
8,3,1283700,22700,1
1,4,199900,3100,0.996364
2,4,394400,6000,0.996364
3,4,588400,8600,0.996364
4,4,783000,11700,1
5,4,1363300,14800,1
6,4,1171900,17200,1
7,4,1360200,20000,1
8,4,1589800,22700,1
1,1,127900,2600,0.836364
2,1,253700,4900,0.872727
3,1,379300,7400,0.861818
4,1,572900,19600,0.869091
5,1,632500,12200,0.850909
6,1,758400,14500,0.861818
7,1,884300,16900,0.861818
8,1,1009300,19300,0.861818
1,2,146800,3000,0.916364
2,2,299300,5400,0.916364
3,2,431400,8100,0.92
4,2,576700,11100,0.916364
5,2,721500,13900,0.934545
6,2,864900,16400,0.927273
7,2,1006300,19200,0.938182
8,2,1151000,22000,0.927273
1,3,163400,3000,0.989091
2,3,322900,5900,0.992727
3,3,482100,8700,1
4,3,644900,11600,1
5,3,805100,14400,1
6,3,964200,17100,0.996364
7,3,1125400,19900,1
8,3,1281700,22800,1
1,4,200400,3100,0.996364
2,4,393400,6000,0.996364
3,4,588300,9300,0.996364
4,4,784700,11700,1
5,4,1001200,14500,1
6,4,1266800,17300,1
7,4,1363600,20200,1
8,4,1574100,22600,1
1,1,127300,2500,0.836364
2,1,253900,4900,0.872727
3,1,379100,7400,0.861818
4,1,505900,9700,0.869091
5,1,632500,12100,0.850909
6,1,758500,14700,0.861818
7,1,885600,17200,0.861818
8,1,1009000,19200,0.861818
1,2,146800,2900,0.916364
2,2,365100,5500,0.916364
3,2,432300,8100,0.92
4,2,576200,11100,0.916364
5,2,720300,13900,0.934545
6,2,865200,16400,0.927273
7,2,1007100,19200,0.938182
8,2,1152500,21900,0.927273
1,3,164200,3000,0.989091
2,3,323100,5900,0.992727
3,3,483200,8600,1
4,3,644200,11700,1
5,3,804200,14300,1
6,3,993200,17100,0.996364
7,3,1123900,19800,1
8,3,1280800,22800,1
1,4,199900,3100,0.996364
2,4,394900,6000,0.996364
3,4,588100,8500,0.996364
4,4,783400,11800,1
5,4,1002700,14500,1
6,4,1171100,17200,1
7,4,1361200,20000,1
8,4,1574300,22600,1
1,1,127500,2600,0.836364
2,1,253400,5000,0.872727
3,1,379200,7400,0.861818
4,1,506300,9800,0.869091
5,1,632000,12100,0.850909
6,1,758800,14500,0.861818
7,1,884000,17100,0.861818
8,1,1008300,19200,0.861818
1,2,147600,3000,0.916364
2,2,311900,5600,0.916364
3,2,431500,8200,0.92
4,2,576100,11100,0.916364
5,2,720700,13800,0.934545
6,2,864600,16700,0.927273
7,2,1005900,19300,0.938182
8,2,1151200,22100,0.927273
1,3,163700,3000,0.989091
2,3,322600,5900,0.992727
3,3,482400,8800,1
4,3,644600,11500,1
5,3,805200,14300,1
6,3,963300,17100,0.996364
7,3,1123400,19900,1
8,3,1281600,22700,1
1,4,199400,3100,0.996364
2,4,393100,6100,0.996364
3,4,589300,8700,0.996364
4,4,784300,11600,1
5,4,977300,14600,1
6,4,1288300,17300,1
7,4,1364600,20000,1
8,4,1552300,22800,1
1,1,127400,2500,0.836364
2,1,254200,5000,0.872727
3,1,379200,7400,0.861818
4,1,505900,9800,0.869091
5,1,632400,12100,0.850909
6,1,827900,14500,0.861818
7,1,883900,17000,0.861818
8,1,1009000,19300,0.861818
1,2,146600,3000,0.916364
2,2,288600,5600,0.916364
3,2,434300,8200,0.92
4,2,576900,11200,0.916364
5,2,720200,13800,0.934545
6,2,865000,16400,0.927273
7,2,1006800,19300,0.938182
8,2,1151700,22000,0.927273
1,3,163500,3000,0.989091
2,3,323500,5900,0.992727
3,3,483000,8700,1
4,3,644500,11500,1
