samples_proportion,x_vars_proportion,time
7,1,1663700
8,1,2250900
1,2,259700
2,2,516400
3,2,773500
4,2,1075800
5,2,1291300
6,2,1552100
7,2,1808500
8,2,2076100
1,3,277400
2,3,549500
3,3,846000
4,3,1103400
5,3,1377700
6,3,1967300
7,3,1928000
8,3,2199300
1,4,320600
2,4,633400
3,4,951500
4,4,1266500
5,4,1579700
6,4,1896500
7,4,2203800
8,4,2507500
1,1,237100
2,1,471100
3,1,713300
4,1,947300
5,1,1177800
6,1,1421900
7,1,1645100
8,1,1888900
1,2,259500
2,2,515900
3,2,772700
4,2,1039400
5,2,1362700
6,2,1556300
7,2,1812100
8,2,2071900
1,3,279400
2,3,549700
3,3,824000
4,3,1213700
5,3,1375300
6,3,1678000
7,3,1928500
8,3,2199900
1,4,343800
2,4,633600
3,4,946400
4,4,1273600
5,4,1579700
6,4,1889700
7,4,2227600
8,4,2769800
1,1,259600
2,1,520000
3,1,707400
4,1,954500
5,1,1178100
6,1,1427600
7,1,1649200
8,1,1880500
1,2,263100
2,2,516400
3,2,774300
4,2,1039200
5,2,1291600
6,2,1675700
7,2,1804900
8,2,2082700
1,3,522300
2,3,1007200
3,3,1517200
4,3,1248100
5,3,1512200
6,3,2951700
7,3,2116300
8,3,2522100
1,4,352300
2,4,696600
3,4,1678700
4,4,2218200
5,4,2945000
6,4,2083000
7,4,2432200
8,4,2838500
1,1,263100
2,1,528000
3,1,777700
4,1,1042200
5,1,1299000
6,1,1556100
7,1,1844200
8,1,2613800
1,2,287300
2,2,569500
3,2,1308300
4,2,1140900
5,2,1429300
6,2,2710600
7,2,2007300
8,2,2296100
1,3,313400
2,3,608400
3,3,921000
4,3,1217200
5,3,1517400
6,3,3309100
7,3,2129000
8,3,2982000
1,4,356600
2,4,717000
3,4,1051200
4,4,1403600
5,4,2007400
6,4,2103500
7,4,2923100
8,4,2800000
1,1,262300
2,1,523500
3,1,784300
4,1,1061500
5,1,1302400
