samples_proportion,x_vars_proportion,time
1,3,314300
2,3,1225000
3,3,2883000
4,3,5533500
5,3,8833300
6,3,13166800
7,3,19121500
8,3,24436800
1,4,422200
2,4,1612300
3,4,3860800
4,4,7503000
5,4,12729600
6,4,17173200
7,4,24387600
8,4,31091600
1,1,95000
2,1,350300
3,1,814800
4,1,1547800
5,1,2427100
6,1,3496900
7,1,4920200
8,1,6490600
1,2,179900
2,2,711000
3,2,1850600
4,2,3158500
5,2,5180000
6,2,7326000
7,2,10258300
8,2,13535000
1,3,322600
2,3,1227400
3,3,3116200
4,3,5240600
5,3,8567500
6,3,12426700
7,3,17219800
8,3,23031100
1,4,440700
2,4,1609600
3,4,4177600
4,4,6867000
5,4,11347600
6,4,18649300
7,4,24114500
8,4,30546800
1,1,96700
2,1,552400
3,1,829500
4,1,1521100
5,1,2476100
6,1,3547700
7,1,5007300
8,1,6403800
1,2,181600
2,2,722600
3,2,1731100
4,2,3170500
5,2,5152100
6,2,7310800
7,2,11668900
8,2,13268400
1,3,331700
2,3,1216700
3,3,3082400
4,3,5848400
5,3,8859200
6,3,12928300
7,3,17549700
8,3,23112800
1,4,417500
2,4,1606200
3,4,3984900
4,4,7012200
5,4,12739600
6,4,17335900
7,4,23964500
8,4,30747800
1,1,93600
2,1,361100
3,1,822300
4,1,1513900
5,1,2514100
6,1,3519100
7,1,5210400
8,1,6998500
1,2,179800
2,2,710500
3,2,1708400
4,2,3094300
5,2,5074300
6,2,8274800
7,2,10242100
8,2,14707300
1,3,742800
2,3,2006900
3,3,3081900
4,3,5148900
5,3,8554200
6,3,13913400
7,3,17763200
8,3,24512600
1,4,428000
2,4,1607200
3,4,3868400
4,4,7443900
5,4,12727500
6,4,17055700
7,4,23449700
8,4,30433200
1,1,95500
2,1,356000
3,1,832100
4,1,1545200
5,1,2414000
6,1,3548100
7,1,4847700
8,1,6440100
1,2,185800
2,2,708400
3,2,1834900
4,2,3087000
5,2,5502100
6,2,7314800
7,2,10194200
8,2,13323800
1,3,330000
2,3,1241000
3,3,3239500
4,3,5709400
5,3,8821100
6,3,12657100
7,3,18434700
8,3,24441700
1,4,464700
2,4,2049200
3,4,3872600
4,4,7338000
5,4,12835600
6,4,16830100
7,4,23277500
8,4,30568000
1,1,94100
2,1,358400
3,1,829000
4,1,1528100
5,1,2452200
6,1,3532000
7,1,4841800
8,1,6488000
1,2,184900
2,2,755900
3,2,1922900
4,2,3410800
5,2,5587600
6,2,7284500
7,2,10217400
8,2,13572600
1,3,318100
2,3,1214000
3,3,3277800
4,3,5182700
5,3,8585400
6,3,12586200
7,3,19083500
8,3,22481600
1,4,423600
2,4,1613400
3,4,3959500
4,4,6944800
5,4,11412400
6,4,16778200
7,4,24452700
8,4,32283200
1,1,104800
2,1,393300
3,1,887300
4,1,1498200
5,1,2865900
6,1,3489900
7,1,4907000
8,1,6333400
1,2,200500
2,2,774100
3,2,1846600
4,2,3109600
5,2,5073300
6,2,7367100
7,2,10205700
8,2,15114800
1,3,328500
2,3,1228100
3,3,3273600
4,3,5696900
5,3,9199600
6,3,12554000
7,3,17529400
8,3,24133800
1,4,418400
2,4,1649700
3,4,3954800
4,4,6931600
5,4,11461000
6,4,16811000
7,4,23330300
8,4,30811300
